strain,date.transformed,host.cell,antibiotics,vector,accession,source.plate.tube,source.kit,creator,other.notes,glycerol.stock.location,burden.assays,miniprep.DNA.concentration.ng.uL.,GFP.inteference,fluorescent.protein,part.type,number.of.subparts,short.part.description,measured,sequenced,sequencing.result
BB94,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523001,"Plate 1, P4",spring 2018 iGEM distribution,Noor Radde,,Teal Box,exp026/exp036,NA,FALSE,,Reporter,5," ""RBS + malS (E. coli periplasmic &#945;-amylase)""",FALSE,1,NA
BB95,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150012,"Plate 4, A10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp026/exp036,NA,FALSE,,Reporter,5," ""BGH terminator""",FALSE,0,NA
BB96,4.20.19,E. coli DH10B + burden monitor,"kan, amp",pSB1AC3,J04450,"Plate 4, B10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp026/exp036,NA,FALSE,,Reporter,5," ""RFP Coding Device""",FALSE,0,NA
BB97,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150013,"Plate 4, E10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp036,NA,FALSE,,Coding,1," ""AGS Linker""",FALSE,0,NA
BB98,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150016,"Plate 4, G10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp036,NA,FALSE,,Tag,1," ""HA tag""",FALSE,0,NA
BB99,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150034,"Plate 4, I10",spring 2018 iGEM distribution,Shireen Shah,,Teal Box,exp036,NA,FALSE,,Device,1," ""dCas RNA plasmid: ""uniCAS RNAimer""""",FALSE,0,NA
BB100,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150035,"Plate 4, K10",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,NA,FALSE,,Device,1," ""uniCAS RNAimer to EMX1""",FALSE,0,NA
BB101,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150036,"Plate 4, M10",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,NA,FALSE,,Device,1," ""uniCAS RNAimer to target VEGF1""",FALSE,0,NA
BB102,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150037,"Plate 4, O10",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,NA,FALSE,,Device,1," ""uniCAS RNaimer to target VEGF2""",FALSE,0,NA
BB103,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J52014,"Plate 4, A11",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,NA,FALSE,,Composite,2," ""NFkB-dnMyD88-link-rLuc""",FALSE,0,NA
BB104,4.20.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J52039,"Plate 4, C11",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp036,NA,FALSE,,Composite,2," ""CMV + Rluc-linker-PEST191""",FALSE,0,NA
BB105,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23100,"Plate 4, D17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,11.2,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,4.666666667,NA
BB106,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23101,"Plate 4, F17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,12.2,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,5.083333333,NA
BB107,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23102,"Plate 4, H17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,29.4,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,12.25,NA
BB108,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23103,"Plate 4, J17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,8.17,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,3.404166667,NA
BB109,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23104,"Plate 4, L17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,5.21,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,2.170833333,NA
BB110,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23105,"Plate 4, N17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp026,59.1,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,24.625,NA
BB111,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23106,"Plate 4, P17",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp026,52.7,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,21.95833333,NA
BB112,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23107,"Plate 4, B19",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,12.9,FALSE,,Regulatory,1," ""constitutive promoter family member """,TRUE,5.375,NA
BB113,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23110,"Plate 4, D19",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,11,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,4.583333333,NA
BB114,4.20.19,E. coli DH10B + burden monitor,"kan, amp",J61002,J23112,"Plate 4, F19",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,13.1,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,5.458333333,NA
BB115,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I746107,"Plate 4, A1",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp036,25.3,TRUE,GFP,Signalling,8," ""I746101 (AIP sensor infrastructure) + I746105 (Inducible P2 + GFP reporter)""",FALSE,10.54166667,NA
BB116,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K525305,"Plate 4, A2",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp036,34,FALSE,,Composite,1," ""Fusion Protein of S-Layer SgsE and mCitrine""",FALSE,14.16666667,NA
BB117,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J23108,"Plate 4, 4c",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006/exp026,NA,FALSE,,Regulatory,1," ""constitutive promoter family member """,TRUE,0,not.sequenced
BB118,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J23109,"Plate 4, 4E",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006/exp026,NA,FALSE,,Regulatory,1," ""constitutive promoter family member """,TRUE,0,not.sequenced
BB119,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,B0030,"Plate 4, 4G",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006/exp026,1.04,FALSE,,Regulatory,1," ""RBS.1 (strong) -- modified from R. Weiss""",TRUE,0.433333333,biobrick.minor.discrepancy
BB120,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1188002,"Plate 4, 4I",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,1.79,FALSE,,RBS,1," ""RTX - Calcium Binding Protein""",TRUE,0.745833333,biobrick.confirmed
BB121,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,k1218003,"Plate 4, 4K",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,5.8,FALSE,,Tag,1,,TRUE,2.416666667,not.sequenced
BB122,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,k1218011,"Plate 4, 4M",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,,NA,FALSE,,Generator,5,,FALSE,0,NA
BB123,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,k1184000,"Plate 4, 4O",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,NA,FALSE,,Composite,10,,TRUE,0,not.sequenced
BB124,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I746908,"Plate 4, 5C",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp006,NA,TRUE,GFP,Signalling,15," ""superfolder GFP driven by pBAD promoter""",TRUE,0,not.sequenced
BB125,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K137076,"Plate 4, 5E",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp036,NA,FALSE,,Regulatory,1," ""AHL inducible production of hydrogen peroxide""",FALSE,0,NA
BB126,4.24.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K137019,"Plate 4, 5G",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,,NA,TRUE,GFP,Regulatory,1," ""AHL receiver + tet inverter + GFP""",FALSE,0,NA
BB127,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23113,"Plate 4, 19H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,5.48,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,2.283333333,NA
BB128,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23114,"Plate 4, 19J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,6.88,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,2.866666667,NA
BB129,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23115,"Plate 4, 19L",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045/exp054/exp051/exp050,3.71,FALSE,,Regulatory,1," ""constitutive promoter family member""",TRUE,1.545833333,NA
BB130,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23116,"Plate 4, 19N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,4.25,FALSE,,DNA,1," ""constitutive promoter family member""",TRUE,1.770833333,NA
BB131,,E. coli DH10B + burden monitor,"kan, amp",J61002,J23118,"Plate 4, 21B",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp045,6.97,FALSE,,Composite,2," ""constitutive promoter family member""",TRUE,2.904166667,NA
BB132,,E. coli DH10B + burden monitor,"kan, amp",pSB1A3,I13452,"Plate 4, 21D",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,9.88,FALSE,,Intermediate,2," ""Adds another BioBrick site""",TRUE,4.116666667,NA
BB133,,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13500,"Plate 4, 21F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,10.6,FALSE,,Intermediate,2," ""Screening plasmid intermediate""",TRUE,4.416666667,biobrick.confirmed
BB134,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608003,"Plate 1, A5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp049/exp046,3,FALSE,,Intermediate,2," ""strong Promoter   medium RBS""",TRUE,1.25,biobrick.confirmed
BB135,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,S05050,"Plate 1, B5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,NA,FALSE,,Regulatory,1," ""B0034:K748002""",FALSE,0,NA
BB136,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608004,"Plate 1, C5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp049/exp046,5.14,FALSE,,Intermediate,2," ""strong Promoter   weak RBS""",TRUE,12.336,biobrick.confirmed
BB137,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K819017,"Plate 1, D5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,5.66,FALSE,,Coding,1," ""Luminesensor repressible SulA408 promoter""",TRUE,2.358333333,biobrick.confirmed
BB138,05.03.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608006,"Plate 1, E5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp018/exp049/exp046,4.84,FALSE,,DNA,1," ""medium Promoter   medium RBS""",TRUE,2.016666667,biobrick.confirmed
BB139,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0056,"PLate 4, 23B",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,13.3,FALSE,,Reporter,5," ""cI repressor from phage 434 (no LVA)""",TRUE,5.541666667,not.sequenced
BB140,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0040,"PLate 4, 23D",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,8.46,FALSE,,Reporter,4," ""Spacer.1 (generic)""",TRUE,3.525,not.sequenced
BB141,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13600,"PLate 4, 23F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,16.5,FALSE,CFP,Reporter,4," ""Tet with CFP reporter (without LVA tag)""",TRUE,6.875,not.sequenced
BB142,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13001,"PLate 4, 23H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,12.3,TRUE,YFP,Composite,2," ""RBS B0030 w/ YFP (-LVA) TT""",TRUE,5.125,not.sequenced
BB143,5/3/19,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13002,"PLate 4, 23J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp018/exp049/exp046,16.5,TRUE,YFP,Composite,2," ""RBS B0031 w/ YFP (-LVA) TT""",TRUE,6.875,not.sequenced
BB144,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J52022,"Plate 4, 11E",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp054/exp051/exp050/exp049/exp046,15.8,TRUE,GFP,Generator,4," ""Nf_B-dnTraf6-linker-GFP""",TRUE,6.583333333,biobrick.minor.discrepancy
BB145,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J52040,"Plate 4, 11G",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,9.7,TRUE,GFP,Generator,4,"""CMV + GFP-PEST191""",TRUE,4.041666667,biobrick.minor.discrepancy
BB146,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J45219,"Plate 4, 11I",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,8.05,FALSE,,Intermediate,12," ""Banana odor enzyme (ATF1) generator""",TRUE,3.354166667,biobrick.confirmed
BB147,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,J45299,"Plate 4, 11K",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,5.44,FALSE,,Coding,1," ""PchA & PchB enzyme generator""",TRUE,2.266666667,biobrick.confirmed
BB148,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I732920,"Plate 4, 11M",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,8.07,FALSE,,Device,1," ""B0015 J09855 I732835""",TRUE,3.3625,biobrick.major.discrepancy
BB149,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,I746200,"Plate 4, 11O",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp018/exp049/exp046,14.5,FALSE,,Device,1," ""FepA L8T Mutant - Large Diffusion pore for E. coli outer membrane.""",TRUE,6.041666667,biobrick.confirmed
BB150,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150038,"Plate 4, 12A",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp036,4,FALSE,,Device,1," ""uniCAS RNAimer to target VEGF3""",TRUE,1.666666667,biobrick.confirmed
BB151,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150039,"Plate 4, 12C",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,7.4,FALSE,,Device,1," ""uniCAS RNAimer to target VEGF4""",TRUE,3.083333333,biobrick.confirmed
BB152,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150040,"Plate 4, 12E",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,7.37,FALSE,,Device,1," ""uniCAS RNAimer to Bla Target 2""",TRUE,3.070833333,biobrick.confirmed
BB153,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150041,"Plate 4, 12G",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,4.51,FALSE,,Device,2," ""uniCAS RNaimer to Bla Target 3""",TRUE,1.879166667,biobrick.confirmed
BB154,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150042,"Plate 4, 12I",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,11.7,FALSE,,Terminator,1," ""uniCAS RNaimer to Bla Target 4""",TRUE,4.875,biobrick.confirmed
BB155,5/3/19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K1150043,"Plate 4, 12K",spring 2018 iGEM distribution,Shireen Shah,,Pink Box,exp008/exp033,7.25,FALSE,,Terminator,1," ""uniCAS RNAimer multiple targets to VEGF 2 and VEGF 3""",TRUE,3.020833333,biobrick.major.discrepancy
BB156,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0025,"Plate 4, 1F",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp008/exp033,NA,FALSE,,RBS,1," ""double terminator (B0015)  reversed""",TRUE,0,not.sequenced
BB157,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0031,"Plate 4, 1H",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp018/exp049/exp046,NA,FALSE,,RBS,1," ""RBS.2 (weak) -- derivative of 0030""",TRUE,0,not.sequenced
BB158,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0032,"Plate 4, 1J",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp018/exp049/exp046,NA,FALSE,,RBS,1," ""RBS.3 (medium) -- derivative of 0030""",TRUE,0,not.sequenced
BB159,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0033,"Plate 4, 1L",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp018/exp049/exp046,NA,FALSE,,RBS,1," ""RBS.4 (weaker) -- derivative of 0030""",TRUE,0,not.sequenced
BB160,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0034,"Plate 4, 1N",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021,NA,FALSE,,RBS,1," ""RBS (Elowitz 1999) -- defines RBS efficiency""",TRUE,0,not.sequenced
BB161,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0012,"Plate 4, 1P",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021/exp033,NA,FALSE,,RBS,1," ""lacI repressor  from E. coli (+LVA)""",FALSE,0,not.sequenced
BB162,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0040,"Plate 4, 3B",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021,NA,FALSE,,RBS,1," ""tetracycline repressor from transposon Tn10 (+LVA)""",TRUE,0,not.sequenced
BB163,5.15.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,C0050,"Plate 4, 3D",spring 2018 iGEM distribution,Jordan Clements,,Pink Box,exp021,NA,FALSE,,Coding,1," ""cI repressor from phage HK022  (+LVA?)""",TRUE,0,not.sequenced
BB164,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K819010,"Plate 1, F5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp008/exp033/exp054/exp051/exp050,10.7,FALSE,,Coding,1," ""Medium cheZ generator""",TRUE,4.458333333,biobrick.confirmed
BB165,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608007,"Plate 1, G5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp008/exp033,20.1,FALSE,,Coding,1," ""medium Promoter   weak RBS""",TRUE,8.375,biobrick.confirmed
BB166,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K934012,"Plate 1, H5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,NA,FALSE,,Coding,1," ""Plas-LuxI""",FALSE,0,NA
BB167,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K660004,"Plate 1, M7",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,NA,FALSE,,Coding,1,"""iLOV""",FALSE,0,NA
BB168,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K934022,"Plate 1, J5 ",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,NA,FALSE,,Generator,1," ""Plux-LasI""",FALSE,0,NA
BB169,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608010,"Plate 1, K5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,17.3,TRUE,GFP,Intermediate,2," ""Medium promoter with strong RBS and GFP""",TRUE,7.208333333,NA
BB170,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K934026,"Plate 1, L5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp033,NA,FALSE,,Composite,3," ""Plux-LacI""",FALSE,0,NA
BB171,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608011,"Plate 1, M5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,15.9,TRUE,GFP,Reporter,1," ""Medium promoter with medium RBS and GFP""",TRUE,6.625,biobrick.confirmed
BB172,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733001,"Plate 1, N5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,13,FALSE,,Composite,4," ""<i>Ptms</i> - a constitutive promoter in <i>E. coli</i> and <i>B. subtilis</i>.""",TRUE,5.416666667,biobrick.confirmed
BB173,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K608012,"Plate 1, O5 ",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,19,TRUE,GFP,Regulatory,3," ""Medium promoter with weak RBS and GFP""",TRUE,7.916666667,biobrick.confirmed
BB174,,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K733006,"Plate 1, P5",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,NA,FALSE,,Composite,5," ""<i>ydjM</i>+<i>Bmp2</i>""",FALSE,0,NA
BB175,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575014,"Plate 1, A6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,20.7,FALSE,RFP,Regulatory,3," ""RhlR/PAI2 Inducible Promoter + RBS (B0030) + RFP""",TRUE,8.625,biobrick.confirmed
BB176,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523002,"Plate 1, B6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,14.1,FALSE,,Regulatory,1," ""RBS + bglX (E. coli perisplasmic &#946;-glucosidase)""",TRUE,5.875,biobrick.confirmed
BB177,6.6.19,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K817002,"Plate 1, P7",spring 2018 iGEM distribution,Noor Radde,,Pink Box,,NA,FALSE,,Regulatory,3,"""PfadBA""",FALSE,0,NA
BB178,5.25.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523003,"Plate 1, D6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,24.4,FALSE,,Coding,1," ""malS for BioSandwich""",TRUE,10.16666667,biobrick.confirmed
BB179,5.25.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575015,"Plate 1, E6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,21.2,FALSE,RFP,Composite,3," ""RhlR/PAI2 Inducible Promoter + RBS (B0034) + RFP""",TRUE,8.833333333,biobrick.confirmed
BB180,5.25.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K523004,"Plate 1, F6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,29.5,FALSE,,Translational_Unit,1," ""bglX for BioSandwich""",TRUE,12.29166667,biobrick.confirmed
BB181,5.24.2019,E. coli DH10B + burden monitor,"kan, cam",pSB1C3,K575020,"Plate 1, G6",spring 2018 iGEM distribution,Noor Radde,,Pink Box,exp021,18.2,FALSE,,Regulatory,1," ""Genomic LasR/PAI1 Inducible Promoter (Long)""",TRUE,7.583333333,biobrick.confirmed
BB182,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0010,"Plate 4, 16G",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,12.1,FALSE,,Coding,1," ""T1 from E. coli rrnB""",TRUE,5.041666667,not.sequenced
BB183,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13502,"Plate 4, 21H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,10.5,FALSE,,Composite,3," ""Screening plasmid intermediate""",TRUE,4.375,not.sequenced
BB184,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I13504,"Plate 4, 21J",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,18.5,FALSE,,Coding,1," ""Screening plasmid intermediate""",TRUE,7.708333333,not.sequenced
BB185,5.24.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,I15017,"Plate 4, 21N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,28.1,TRUE,YFP,Regulatory,1," ""B0032.EYFP""",TRUE,11.70833333,not.sequenced
BB186,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,B0025,"Plate 4, 16A",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,17.1,FALSE,,Terminator,1," ""double terminator (B0015)  reversed""",TRUE,7.125,not.sequenced
BB187,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,J61000,"Plate 4, 23N",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021/exp054/exp051/exp050,4.31,FALSE,,Translational_Unit,2," ""chloramphenicol resistance cassette""",TRUE,1.795833333,biobrick.major.discrepancy
BB188,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0020,"Plate 4, 5B",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,5.56,FALSE,CFP,Reporter,4," ""engineered cyan fluorescent protein derived from A. victoria GFP """,TRUE,2.316666667,biobrick.confirmed
BB189,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0022,"Plate 4, 5D",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,6.17,FALSE,CFP,Translational_Unit,2," ""enhanced cyan fluorescent protein derived from A. victoria GFP""",TRUE,2.570833333,biobrick.confirmed
BB190,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,E0032,"Plate 4, 5F",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp021,5.96,TRUE,YFP,Generator,1," ""enhanced yellow fluorescent protein derived from A. victoria GFP""",TRUE,2.483333333,biobrick.confirmed
BB191,5.31.2019,E. coli DH10B + burden monitor,"kan, amp",pSB1A2,R0011,"Plate 4, 5H",spring 2018 iGEM distribution,Diya Bhat,,Pink Box,exp033,2.41,FALSE,,Coding,1," ""Promoter (lacI regulated  lambda pL hybrid)""",TRUE,1.004166667,not.sequenced
